category,service,price_aed,notes
Grooming,Blow Dry & Spritz SM,50,
Grooming,Blow Dry & Spritz MD,50,
Grooming,Blow Dry & Spritz LG,50,
Grooming,Wash & Blow Dry SM,100,
Grooming,Wash & Blow Dry MD,125,
Grooming,Wash & Blow Dry LG,150,
Grooming,Full Grooming SM,210,
Grooming,Full Grooming MD,250,
Grooming,Full Grooming LG,300,
Grooming,Dematting SM,60,
Grooming,Dematting MD,80,
Grooming,Dematting LG,100,
Grooming,Deshedding Treatment SM,150,
Grooming,Deshedding Treatment MD,200,
Grooming,Deshedding Treatment LG,250,
Grooming,Puppy's First Groom SM,180,Under 6 months
Grooming,Puppy's First Groom MD,220,Under 6 months
Grooming,Puppy's First Groom LG,260,Under 6 months
Grooming,Hand Stripping SM,250,Wire-coat breeds
Grooming,Hand Stripping MD,320,Wire-coat breeds
Grooming,Hand Stripping LG,400,Wire-coat breeds
Grooming,Spa Treatment SM,180,Includes mud mask
Grooming,Spa Treatment MD,220,Includes mud mask
Grooming,Spa Treatment LG,280,Includes mud mask
Details Job,Ear Cleaning SM,30,
Details Job,Ear Cleaning MD,30,
Details Job,Ear Cleaning LG,30,
Details Job,Nails Clipping SM,30,
Details Job,Nails Clipping MD,30,
Details Job,Nails Clipping LG,30,
Details Job,Medicated Shampoo SM,30,
Details Job,Medicated Shampoo MD,30,
Details Job,Medicated Shampoo LG,30,
Details Job,Teeth Brushing SM,30,
Details Job,Teeth Brushing MD,30,
Details Job,Teeth Brushing LG,30,
Details Job,Anal Gland SM,30,
Details Job,Anal Gland MD,30,
Details Job,Anal Gland LG,30,
Details Job,Paws Trimming SM,30,
Details Job,Paws Trimming MD,30,
Details Job,Paws Trimming LG,30,
Details Job,2 Details SM,50,
Details Job,2 Details MD,50,
Details Job,2 Details LG,50,
Details Job,Paw Balm Application SM,25,
Details Job,Paw Balm Application MD,25,
Details Job,Paw Balm Application LG,25,
Details Job,Cologne Finish SM,20,
Details Job,Cologne Finish MD,20,
Details Job,Cologne Finish LG,20,
Boarding,One Night 1st Dog,160,
Boarding,One Night Add'l Dog,120,
Boarding,Extended Stay (7+ nights) 1st Dog,140,Per night
Boarding,Extended Stay (7+ nights) Add'l Dog,100,Per night
Boarding,Holiday Surcharge 1st Dog,40,Per night; public holidays
Boarding,Holiday Surcharge Add'l Dog,30,Per night; public holidays
Day Care,1 Hour 1st Dog,20,
Day Care,1 Hour Add'l Dog,15,
Day Care,1/2 Day 1st Dog,60,Valid for 5 hours
Day Care,1/2 Day Add'l Dog,45,Valid for 5 hours
Day Care,1 Day 1st Dog,100,
Day Care,1 Day Add'l Dog,70,
Day Care,Late Pickup 1st Dog,50,After 7pm; per hour
Day Care,Late Pickup Add'l Dog,40,After 7pm; per hour
Packages,5 Days 1st Dog,450,Valid for 2 months
Packages,5 Days Add'l Dog,300,Valid for 2 months
Packages,15 Days 1st Dog,1300,Valid for 2 months
Packages,15 Days Add'l Dog,900,Valid for 2 months
Packages,20 Days 1st Dog,1500,Valid for 2 months
Packages,20 Days Add'l Dog,1100,Valid for 2 months
Packages,Unlimited 1st Dog,1800,Valid for 1 month
Packages,Unlimited Add'l Dog,1500,Valid for 1 month
Packages,Grooming 5-Pack 1st Dog,950,Full grooming; valid 4 months
Packages,Grooming 5-Pack Add'l Dog,850,Full grooming; valid 4 months
Welcome,Registration and Assessment 1st Dog,0,Free
Welcome,Registration and Assessment Add'l Dog,0,Free
Welcome,Meet & Greet Session 1st Dog,0,Free; 30 minutes
Welcome,Meet & Greet Session Add'l Dog,0,Free; 30 minutes
Vet,General Consultation SM,150,
Vet,General Consultation MD,150,
Vet,General Consultation LG,150,
Vet,Follow-up Consultation SM,80,Within 14 days
Vet,Follow-up Consultation MD,80,Within 14 days
Vet,Follow-up Consultation LG,80,Within 14 days
Vet,Core Vaccination (DHPP) SM,180,
Vet,Core Vaccination (DHPP) MD,180,
Vet,Core Vaccination (DHPP) LG,180,
Vet,Rabies Vaccination SM,120,
